dog_SubStatusCode,Health,EnergyLevel,RespondsToCommandKennel,GoodWStrangers,StaysOnCommand,BehavesWellClass,NailCutting,Breed,Sex,GoodAppetite,FoodType,ExerciseType
0,4,5,4,3,3,3,1,Labrador Retriever,M,Yes,Iams,Playing with kids
0,4,5,5,5,3,4,2,Labrador Retriever,M,Yes,Iams Low Res,"running, dog play"
0,5,5,5,5,1,4,5,Labrador Retriever,F,Yes,IAMS 12 MO.(chicken)Puppy food,"Outdoor walks (60min), backyardplay (30-45min), indoor toy play (60-90 minutes) throughout the day"
0,5,5,5,5,5,4,5,Labrador Retriever,F,Yes,Iams,"Walks, training, play in yard"
0,5,5,3,5,3,4,5,Labrador Retriever,F,Yes,Iams,"Walks, swimming, fenced in yard"
0,3,5,5,5,4,4,3,Labrador Retriever,F,Yes,California Naturals Chicken & Brown Rice,walking
0,3,5,5,5,4,4,3,Labrador Retriever,F,Yes,California Naturals Chicken & Brown Rice,walking
0,5,5,4,5,1,5,5,Labrador Retriever,M,Yes,Fromm's Large Breed Puppy,Walks & Dog Pack Play
0,4,5,5,5,5,5,5,Labrador Retriever,F,Yes,Iams Lamb & Rice,"Walks, frisbee or ball, water-pond"
0,4,5,5,5,5,5,5,Labrador Retriever,F,Yes,Iams Lamb & Rice,"Walks, frisbee or ball, water-pond"
0,5,5,4,4,1,4,5,Labrador Retriever,F,Yes,Iams Puppy,Walks in town and woods and plays with our other two labs.  Some evenings we also go to a pond.  Yani is a water lover.
0,5,5,4,4,1,4,5,Labrador Retriever,F,Yes,Iams Puppy,Walks in town and woods and plays with our other two labs.  Some evenings we also go to a pond.  Yani is a water lover.
0,4,5,5,5,3,4,3,Labrador Retriever,M,Yes,Iams Adult Large Breed,2 mile walks in A.M.  Afternoon walks/rides in car to Metro/School events.
0,4,3,5,5,3,4,3,Labrador Retriever,M,Yes,Iams Large Puppy,5 quarter mile walks/day and playtime in fenced yard with family dog for 15 min.
0,5,5,5,5,4,4,5,Labrador Retriever,M,Yes,Iams  Proactive Health. Adult,Walking  /  fetching
0,5,5,4,4,4,2,5,Labrador Retriever,M,Yes,IAMS large breed chicken and rice,walking/outdoor play
0,5,5,5,5,5,4,4,Labrador Retriever,M,Yes,Iams,"playing inside and outside with family and family pets, including fetching, walking, running within fenced yard."
0,4,5,5,5,5,4,5,Labrador Retriever,M,Yes,IAMS,"plays fetch, plays with dogs, walks"
0,5,5,4,4,1,4,4,Labrador Retriever,F,Yes,Science Diet Puppy,Walks on leash and Plays with our dog
0,5,4,5,5,4,4,4,Labrador Retriever,F,Yes,Iams Lamb Rice,"Walks, Hikes, Playing in fenced yard with our dog, ball chasing"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,3,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams,"Walks, Tug, Fetch, Swimming (not recently), Hiking, Jumping on rocks"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,4,4,4,5,1,5,3,Labrador Retriever,M,Yes,Iams Smart Puppy,"Walk, ball play/some tug"
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,5,4,3,5,2,5,1,Labrador Retriever,M,Yes,Iams Puppy,Walks and ball
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,3,4,4,5,4,4,3,Labrador Retriever,M,Yes,IAMS,walking and playing
0,5,3,4,2,1,2,4,Labrador Retriever,F,Yes,Iams,Fetch and Walks/ Outside free play
0,5,3,4,2,1,2,4,Labrador Retriever,F,Yes,Iams,Fetch and Walks/ Outside free play
0,5,4,5,5,4,4,4,Labrador Retriever,M,Yes,Iams. Puppy,Walks daily and plays with the house dog.
0,5,5,5,5,3,4,3,Labrador Retriever,M,Yes,Health Extensions,"walks, play with other house dog"
0,5,5,5,5,4,5,0,Labrador Retriever,M,Yes,Hills Science Diet - Puppy,"3 daily walks, free play with family pet in outdoor fenced area"
0,4,5,4,5,5,4,1,Labrador Retriever,F,Yes,Iams Adult,"Walks, running in yard, active play with other dogs."
0,4,5,2,5,4,4,2,Labrador Retriever,F,Yes,Iams,"Playing with older dog (wrestling, chase, toys), tug, walks"
0,5,3,5,3,3,2,4,Labrador Retriever,M,Yes,IAMS healthy puppy,Walking am & pm
0,5,4,4,5,4,3,4,Labrador Retriever,M,Yes,IAMS lamb & rice,"walking, fetch"
0,4,4,4,4,4,4,4,Labrador Retriever,M,Yes,Iams Smart Puppy Large Breed,"Walks, Plays with dogs, Fetch, Swimming"
0,4,4,4,4,4,4,4,Labrador Retriever,M,Yes,Iams Smart Puppy Large Breed,"Walks, Plays with dogs, Fetch, Swimming"
0,5,5,5,5,4,4,5,Labrador Retriever,M,Yes,Iams,"Walking, Playing Ball"
0,5,5,5,5,4,4,5,Labrador Retriever,M,Yes,Iams,"Walking, Playing Ball"
0,5,5,5,5,3,4,5,Labrador Retriever,M,No,Purina pro plan,Walking
0,5,5,5,5,3,4,5,Labrador Retriever,M,No,Purina pro plan,Walking
0,5,5,5,5,5,5,3,Labrador Retriever,F,Yes,Iams Puppy/ Chicken and Rice Mixed,"walks, play"
0,5,5,5,5,3,5,3,Labrador Retriever,F,Yes,Science Diet large Breed puppy,"Walk,"
0,4,4,4,3,4,2,3,Labrador Retriever,M,Yes,Hills Science Diet,"Walks, play with other GEB pups, long leash, yard toys"
0,5,5,5,4,4,4,4,Labrador Retriever,M,Yes,Iams Lamb and Rice,"Long walks, fetch, GEB dogs play, outside play"
0,5,4,5,5,4,4,5,Labrador Retriever,M,Yes,fromm puppy,"walking, playing with my dog"
0,5,5,5,5,5,5,5,Labrador Retriever,M,Yes,Iams Lamb and Rice,"walking, playing ball"
0,5,5,5,5,5,4,5,Labrador Retriever,M,Yes,Merrick,"Walking, playing, hiking"
0,4,5,5,5,3,4,4,Labrador Retriever,M,Yes,Merrick,"Walking, playing"
0,0,5,4,5,4,3,2,Labrador Retriever,F,Yes,Science Diet,Walking-playing-training
0,4,4,4,4,4,3,2,Labrador Retriever,F,Yes,costco kirklands adult,Fetch; walks; play with other dogs; swimming
0,3,5,3,5,5,3,5,Labrador Retriever,F,Yes,Costo Kirkland Puppy,"Play with neighbor dogs, fetch with soccer and tennis balls, training walks"
0,5,4,4,5,4,4,4,Labrador Retriever,M,Yes,Kirkland Lamb and Rice,"walks, occasional play with another dog"
0,5,4,4,4,3,3,4,Labrador Retriever,M,Yes,Science Diet,"walks, run in enclosed space, play with other dogs"
0,4,4,4,4,5,4,4,Labrador Retriever,M,Yes,Kirkland Adult,"walks, loose leash walks, running off leash in enclosed areas, swimming"
0,5,5,3,5,4,3,3,Labrador Retriever,F,Yes,Iams,Walks
0,5,5,5,5,5,4,5,Labrador Retriever,M,Yes,Iams,"walking, biking, fetch"
0,5,4,5,5,4,4,4,Labrador Retriever,M,Yes,Science Diet,"walking, running, fetching,"
0,5,5,4,5,1,4,4,Labrador Retriever,M,Yes,Science Diet,"Walking, fetch"
0,5,5,5,5,5,5,5,Labrador Retriever,M,Yes,Iams,"Running, fetch, walking"
0,3,3,4,3,3,2,3,Labrador Retriever,M,Yes,puppy chow,walking/playing with a ball
0,2,3,5,4,3,3,3,Labrador Retriever,M,No,Iams,"Walking, swimming, fetch"
0,3,5,5,5,2,4,3,Labrador Retriever,F,Yes,Science Diet,"play ball, tug, walk"
0,4,5,5,5,4,4,4,Labrador Retriever,F,Yes,Science Diet,"walks, fetch, tug"
0,5,5,5,5,3,4,3,Labrador Retriever,F,Yes,Hill's Large Breed Puppy,"walks, play in the yard"
0,5,5,5,5,3,4,2,Labrador Retriever,F,Yes,Canidae,"walks, fetch/play in yard"
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Blue Buffalo,"Walking, running & Playing"
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Blue Buffalo,"Walking, running & Playing"
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Blue Buffalo,"Walking, running & Playing"
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Blue Buffalo,"Walking, running & Playing"
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Blue Buffalo,"Walking, running & Playing"
0,5,3,5,4,5,4,3,Labrador Retriever,F,Yes,Iams,"Running, walking, playing"
0,5,3,5,4,5,4,3,Labrador Retriever,F,Yes,Iams,"Running, walking, playing"
0,5,3,5,4,5,4,3,Labrador Retriever,F,Yes,Iams,"Running, walking, playing"
0,5,3,5,4,5,4,3,Labrador Retriever,F,Yes,Iams,"Running, walking, playing"
0,5,3,5,4,5,4,3,Labrador Retriever,F,Yes,Iams,"Running, walking, playing"
0,5,5,5,4,5,3,4,Labrador Retriever,M,Yes,Iams,Walking
0,5,5,5,4,5,3,4,Labrador Retriever,M,Yes,Iams,Walking
0,5,3,4,4,3,2,3,Labrador Retriever,M,Yes,Iams large breed puppy food,Walking /yard / stairs
0,5,3,4,4,3,2,3,Labrador Retriever,M,Yes,Iams large breed puppy food,Walking /yard / stairs
0,4,5,5,5,5,5,5,Labrador Retriever,M,Yes,4health,"walks, fetch"
0,5,5,5,5,5,5,5,Labrador Retriever,M,Yes,Fromm,"Jogging, Fetch, puppy play dates"
0,5,4,5,5,3,3,5,Labrador Retriever,F,Yes,Iams proactive health- smart puppy large breed,Backyard running and ball fetching
0,5,4,5,5,3,4,1,Labrador Retriever,F,Yes,IAMS,"Playing, chasing balls, toys, walks"
0,5,5,3,4,4,4,3,Labrador Retriever,F,Yes,Science Diet,yard running w/ our dog
0,4,4,3,3,4,3,1,Labrador Retriever,F,Yes,IAMS/ lamb & rice,walk/runn/chase/fetch
0,5,5,5,5,2,4,4,Labrador Retriever,F,Yes,Iams,walks/playing in yard
0,5,5,5,5,4,4,3,Labrador Retriever,F,Yes,Iams Chicken,walks/playing in yard
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,4,5,3,3,4,5,3,Labrador Retriever,M,Yes,iams smart puppy,"walk to either Main st., around boces parking lot, or plays with toys."
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,4,5,2,4,3,Labrador Retriever,M,Yes,Iams Minichunks,"Walks, fetch, tug"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,4,5,5,5,3,3,Labrador Retriever,M,Yes,Iam,"walks, mall walks, backyard fetch, playdates"
0,5,5,5,5,5,5,3,Labrador Retriever,M,Yes,Iams Lamb and Rice,"Walking, Fetch"
0,5,5,5,5,5,5,3,Labrador Retriever,M,Yes,Iams Lamb and Rice,"Walking, Fetch"
0,5,5,4,5,5,4,2,Labrador Retriever,M,Yes,Iams Puppy,Walk/play
0,5,5,4,5,5,4,2,Labrador Retriever,M,Yes,Iams Puppy,Walk/play
0,5,4,5,3,5,4,5,Labrador Retriever,F,Yes,Iams,walking-training-puppy play dates-playing ball
0,5,4,5,3,5,4,5,Labrador Retriever,F,Yes,Iams,walking-training-puppy play dates-playing ball
0,5,4,5,3,5,4,5,Labrador Retriever,F,Yes,IAMS,walking-playing ball-training-sometime get over excited especially when getting up in the morning
0,5,4,5,3,5,4,5,Labrador Retriever,F,Yes,IAMS,walking-playing ball-training-sometime get over excited especially when getting up in the morning
0,5,5,5,5,5,4,5,Labrador Retriever,F,Yes,Iams lamb/rice,walking-ball-endurance
0,5,5,5,5,5,4,5,Labrador Retriever,F,Yes,Iams lamb/rice,walking-ball-endurance
0,5,5,2,5,5,4,4,Labrador Retriever,M,Yes,Iams,Walkling/playing
0,5,5,2,5,5,4,4,Labrador Retriever,M,Yes,Iams,Walkling/playing
0,4,4,2,4,4,4,4,Labrador Retriever,M,Yes,IAMS Puppy,Walking/Observing World
0,4,4,2,4,4,4,4,Labrador Retriever,M,Yes,IAMS Puppy,Walking/Observing World
0,5,5,4,5,3,3,4,Labrador Retriever,M,Yes,Iams,"walks, play, other dog"
0,5,5,4,5,3,3,4,Labrador Retriever,M,Yes,Iams,"walks, play, other dog"
0,4,5,5,5,4,5,3,Labrador Retriever,M,Yes,4 Health Lamb and Rice,"playing ball, frisbee, walks"
0,5,4,5,4,1,3,1,Labrador REtriever,M,Yes,4 Health Puppy,"Plays in fenced yard, walks, snow frisbee"
0,3,5,5,5,5,2,4,Labrador Retriever,M,Yes,4 Health Salmon and Potato,"daily walks, fetch"
0,4,5,4,5,4,4,1,Labrador Retriever,M,Yes,Kirkland Natures Domain (grain free),"longlong walks, jogging, occasional play-dates, fetches"
0,4,5,5,5,5,5,5,Labrador Retriever,M,Yes,Kirkland Natures Domain (grain free),"walking,jogging,swimming,fetching,tug-of-war"
0,4,5,5,5,5,5,5,Labrador Retriever,M,Yes,Kirkland Nature's Domain,"walking,jogging, swimming, fetching, tug of war"
0,5,5,5,5,4,4,3,Labrador Retriever,F,Yes,Science Diet,"Walks, Outtings, and playing ball."
0,5,5,5,5,4,4,3,Labrador Retriever,F,Yes,Science Diet,"Walks, Outtings, and playing ball."
0,5,5,4,5,2,4,4,Labrador Retriever,F,Yes,Science Diet Puppy,"fetch, walks, inside play 3x day tug"
0,5,5,4,5,2,4,4,Labrador Retriever,F,Yes,Science Diet Puppy,"fetch, walks, inside play 3x day tug"
0,5,5,5,5,5,5,3,Labrador Retriever,F,Yes,Iams,"walks, play (human dog)"
0,5,5,5,5,5,5,3,Labrador Retriever,F,Yes,Iams,"walks, play (human dog)"
0,5,4,1,5,5,4,4,Labrador Retriever,M,Yes,Iams adult large breed,Walking and playing ( fetching toys)
0,5,4,1,5,5,4,4,Labrador Retriever,M,Yes,Iams adult large breed,Walking and playing ( fetching toys)
0,5,5,5,5,5,5,5,Labrador Retriever,M,Yes,Iams Lamb & Rice,"walking, playing with other dogs, running in the BDA"
0,5,5,5,5,5,5,5,Labrador Retriever,M,Yes,Iams Lamb & Rice,"walking, playing with other dogs, running in the BDA"
0,5,4,4,5,1,5,5,Labrador Retriever,M,Yes,Hills Science Diet Large Breed puppy,"short walks, playing in snow"
0,5,4,4,5,5,5,5,Labrador Retriever,M,Yes,Hill's Science Diet,walks
0,5,4,5,5,5,5,5,Labrador Retriever,M,Yes,Hill's Science Diet Large Breed Adult,"walks, back yard and indoor play"
0,5,5,5,4,4,4,3,Labrador Retriever,M,Yes,Science Diet chicken adult,"walk, play ball, play tug"
0,5,5,5,4,4,4,3,Labrador Retriever,M,Yes,Science Diet chicken adult,"walk, play ball, play tug"
0,5,3,2,4,3,5,4,Labrador Retriever,M,Yes,Science Diet -Large Breed Puppy-Chicken,"walking, chase & retrieve  ball, play tug"
0,5,3,2,4,3,5,4,Labrador Retriever,M,Yes,Science Diet -Large Breed Puppy-Chicken,"walking, chase & retrieve  ball, play tug"
0,5,5,5,5,4,3,3,Labrador Retriever,M,Yes,Iams Lamb and RIce,"walks, puppy play"
0,5,5,5,5,4,3,3,Labrador Retriever,M,Yes,Iams Lamb and RIce,"walks, puppy play"
0,5,4,5,5,4,3,5,Labrador Retriever,M,Yes,Iams lamb & rice,"Walks outside, runs/plays in enclosed porch"
0,5,5,4,5,3,3,4,Labrador Retriever,M,Yes,IAMS/Lamb & Rice,"walking,running,playing,stairs"
0,5,5,5,5,4,2,5,Labrador Retriever,M,Yes,Iams. Lamb & rice,Walking / outside play
0,4,5,5,5,1,4,1,Labrador Retriever,F,Yes,Iams large breed puppy chow,"at least 2 1/2 mile walks a day, plus fetch inside"
0,5,3,4,5,3,3,3,Labrador Retriever,M,Yes,Iams,"Tug, Fetch, Walks, Rough Housing (helping with energy management)"
0,5,3,4,5,3,3,3,Labrador Retriever,M,Yes,Iams,"Tug, Fetch, Walks, Rough Housing (helping with energy management)"
0,5,4,4,5,5,4,4,Labrador Retriever,M,Yes,Iams,"Walks, tug of war, fetch, Keeper in the middle"
0,5,4,4,5,5,4,4,Labrador Retriever,M,Yes,Iams,"Walks, tug of war, fetch, Keeper in the middle"
0,5,5,4,5,4,4,5,Labrador Retriever,F,Yes,Iams Lamb & Rice,"Yard play, walking, tug games."
0,5,4,4,5,3,3,4,Labrador Retriever,F,Yes,Iams Puppy Food,"Walks, playing with toys, balls, etc."
0,5,4,3,5,3,3,4,Labrador Retriever,F,Yes,Iams Lamb & Rice,"Walks, hikes, outdoor fetch, playing with other dogs outside."
0,5,4,5,5,4,4,4,Labrador Retriever,F,Yes,Iams,"Two walks most days of 30-45 min, daily play time with my dogs, play dates with other GEB dogs about once a week, trips to other places, 2 to 4 times per week"
0,5,4,5,4,5,3,4,Labrador Retriever,F,Yes,Iams,"Short and longer walks, visits to training sites, play sessions (supervised)"
0,4,5,4,5,3,0,0,Labrador Retriever,F,Yes,Low res to Canidae,"Short walks, play time with me, play time with my dogs."
0,5,4,5,5,4,4,3,Labrador Retriever,F,Yes,Taste of the Wild Grain Free,"Walking, Outings"
0,5,4,5,5,4,4,3,Labrador Retriever,F,Yes,Taste of the Wild Grain Free,"Walking, Outings"
0,4,5,5,5,4,4,5,Labrador Retriever,F,Yes,IAMS Low Residue,"Outdoor on 25' lead, indoor toys, walks"
0,4,5,5,5,4,4,5,Labrador Retriever,F,Yes,IAMS Low Residue,"Outdoor on 25' lead, indoor toys, walks"
0,5,5,5,5,5,5,2,Labrador Retriever,F,Yes,Taste of the Wild Grain Free,Walking
0,5,5,5,5,5,5,2,Labrador Retriever,F,Yes,Taste of the Wild Grain Free,Walking
0,5,5,5,5,3,4,4,Labrador Retriever,F,Yes,Iams puppy,play time with other dog
0,5,5,5,5,3,4,4,Labrador Retriever,F,Yes,Iams puppy,play time with other dog
0,5,5,5,5,4,4,3,Labrador Retriever,M,Yes,Iams," Walk per day, except when too cold"
0,5,5,5,5,4,4,3,Labrador Retriever,M,Yes,Iams," Walk per day, except when too cold"
0,5,5,4,5,3,3,4,Labrador Retriever,M,Yes,Iams,Walk &  running around the yard
0,5,5,4,5,3,3,4,Labrador Retriever,M,Yes,Iams,Walk &  running around the yard
0,5,4,3,4,3,4,5,Labrador Retriever,M,Yes,Iams,"Walking, Running, Hiking"
0,5,4,3,4,3,4,5,Labrador Retriever,M,Yes,Iams,"Walking, Running, Hiking"
0,5,4,3,5,3,2,4,Labrador Retriever,F,Yes,Iams Puppy (1-12 mo formula),Walking/Hiking
0,5,4,3,5,3,2,4,Labrador Retriever,F,Yes,Iams Puppy (1-12 mo formula),Walking/Hiking
0,5,5,5,5,4,4,4,Labrador Retriever,F,Yes,Iams Puppy (1-12 mo formula),"Walks, catching frisbees, chasing after tennis balls or playing with our other dog"
0,5,5,5,5,4,4,4,Labrador Retriever,F,Yes,Iams Puppy (1-12 mo formula),"Walks, catching frisbees, chasing after tennis balls or playing with our other dog"
0,5,5,5,5,4,5,5,Labrador Retriever,F,Yes,natures variety,lots of walks and play time
0,5,5,5,5,4,5,5,Labrador Retriever,F,Yes,natures variety,lots of walks and play time
0,4,5,4,5,4,4,4,Labrador Retriever,M,Yes,Iams,"Walking, playing"
0,4,4,5,5,5,5,3,Labrador Retriever,M,Yes,Iams,"Walking, running, fetching"
0,5,4,2,4,2,0,0,Labrador Retriever,M,Yes,iams,walks and playing in fenced in backyard
0,4,5,5,4,4,4,4,Labrador Retriever,M,Yes,Iams,"walks, runs, playing"
0,5,5,5,5,4,3,5,Labrador Retriever,F,Yes,Iams lamb and rice,Walking/ playing in yard
0,5,5,5,5,4,3,5,Labrador Retriever,F,Yes,Iams lamb and rice,Walking/ playing in yard
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Iams,Walking
0,5,5,5,5,4,4,5,Labrador Retriever,F,Yes,Iams,Walking
0,5,5,5,5,4,4,4,Labrador Retriever,M,Yes,Iams puppy chow,"walking, retrieving balls, beach"
0,5,4,5,5,3,3,5,Labrador Retriever,M,Yes,Iams Puppy chow,"walking, playing"
0,5,5,5,5,5,4,4,Labrador Retriever,M,Yes,Iams Lamb and Rice,"walk, run, swim"
0,5,5,4,5,4,3,4,Labrador Retriever,M,Yes,Iams,"long line walks, fetch, swimming"
