Breed,Color,Sex,RaiserState,GoodAppetite,FoodType,ExerciseType,GeneralComments,dog_SubStatusCode
Labrador Retriever,Yellow,F,VA,Yes,Taste of the Wild; Honest Kitchen,Fetch; walks & brief runs around the block; playtime with our family dog,"My only concern is that with the NBC thing, she hasn't been able to go on any puppy sits.  It's come up a few times now that she doesn't listen to other people very well if they're in charge of her––not that she's intentionally blowing them off.  It seems more like she doesn't know that she's supposed to obey them.  I'm glad she's so connected with me, but I'm worried it could become a problem if she doesn't get exposed to other people handling her.",0
Labrador Retriever,Yellow,F,VA,Yes,Honest Kitchen and Taste of the Wild,"Runs around the block, tug of war with our family dog, fetch in the backyard, and occasional neighborhood walks.","One thing I've noticed recently is that Tully is not good about obeying anyone besides me.  She hasn't been able to be on a puppy sit because of the NBC thing this month, but I'm a little concerned that this needs to happen sooner rather than later.  It's not that she ignores other people.  She just doesn't get that if someone else is handling her, she needs to obey when they tell her to sit or do anything else.",0
Labrador Retriever,Yellow,F,VA,Yes,Honest Kitchen and Taste of the Wild,"Runs around the block, tug of war with our family dog, fetch in the backyard, and occasional neighborhood walks.","One thing I've noticed recently is that Tully is not good about obeying anyone besides me.  She hasn't been able to be on a puppy sit because of the NBC thing this month, but I'm a little concerned that this needs to happen sooner rather than later.  It's not that she ignores other people.  She just doesn't get that if someone else is handling her, she needs to obey when they tell her to sit or do anything else.",0
Labrador Retriever,Black/tan,F,ME,Yes,Science Diet,"Short walks, fetch","Savannah is highly food motivated, which can be both a good and bad thing. She responds very quickly to commands in hope for a treat, but she sometimes also demand barks for treats. She has a pretty high energy level, but we are working with her controlling that energy, and she has been doing much better lately.",0
Labrador Retriever,Black/tan,M,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",Great puppy Snickers could almost raise himself  He is doing well for his age in all areas His behaviour still need work but he is a quick learner,0
Labrador Retriever,Black/tan,M,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",Great puppy Snickers could almost raise himself  He is doing well for his age in all areas His behaviour still need work but he is a quick learner,0
Labrador Retriever,Black/tan,M,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",Great puppy Snickers could almost raise himself  He is doing well for his age in all areas His behaviour still need work but he is a quick learner,0
Labrador Retriever,Black,F,OH,Yes,Iams puppy,"walks, playing in the yard","Sheba is a sweet and smart girl. She has adjusted well to our home and our other dogs. She is a bit of a scavenger on walks and needs to be redirected often, but otherwise she is a quick learner and is well-behaved. She is fearless and willing to try anything...loves playing on the playground equipment in the park near our house!",0
Labrador Retriever,Black,F,OH,Yes,Iams puppy,"walks, playing in the yard","Sheba is a sweet and smart girl. She has adjusted well to our home and our other dogs. She is a bit of a scavenger on walks and needs to be redirected often, but otherwise she is a quick learner and is well-behaved. She is fearless and willing to try anything...loves playing on the playground equipment in the park near our house!",0
Labrador Retriever,Black/tan,M,VA,Yes,Iams,"Short walks, fetch, tug, playing with other dogs","Sarge has been our easiest puppy so far.  He learns very quickly and is especially food driven which helps a lot!  He has adapted incredibly easily to coming with me to work and does not make a peep in a kennel.  We don't have any major concerns, just minor ones.  He does do a lot of play biting so we constantly have to have a toy to put in his mouth.  He also scavenges indoors and out, but is quick to ""out"" when we tell him.  He has a very long attention span and has a great duration on all his commands with low distraction.  He is a sweet pup and is really excelling with all his GEB training.",0
Labrador Retriever,Black/tan,M,VA,Yes,Iams,"Short walks, fetch, tug, playing with other dogs","Sarge has been our easiest puppy so far.  He learns very quickly and is especially food driven which helps a lot!  He has adapted incredibly easily to coming with me to work and does not make a peep in a kennel.  We don't have any major concerns, just minor ones.  He does do a lot of play biting so we constantly have to have a toy to put in his mouth.  He also scavenges indoors and out, but is quick to ""out"" when we tell him.  He has a very long attention span and has a great duration on all his commands with low distraction.  He is a sweet pup and is really excelling with all his GEB training.",0
Labrador Retriever,Black,M,NY,Yes,Hills Science Diet large breed puppy,"walks, ball chasing, playing with his brother     ng with the family dog","Samson is a very affectionate pup.  He loves to be handled and is good with people.We feel his main challenge is with distractions.  When running through his skills he may lose focus after a couple commands and ""punch out"" if something catches his attention.  Distractions are also a large factor in his diminished recall response.  He actually seems to do better in environments with multiple distractions as opposed to those with a single distraction such as one person walking by v. a street in town.In an overnight with a female dog a couple weeks ago he started humping during play but this past week that has extended to mounting our legs.",0
Labrador Retriever,Yellow,F,ME,Yes,Science Diet Puppy,"Walking, playing in yard",,0
Labrador Retriever,Yellow,F,ME,Yes,Science Diet Puppy,"Walking, playing in yard",,0
Labrador Retriever,Black,F,Me,Yes,Blue Seal Puppy,walking and ball,Raisin is a very smart sweet pup who is learns easily and quickly. She is very food oriented and I am being careful with food rewards.,0
Labrador Retriever,Black,M,MD,Yes,Science Diet- Puppy,"2 mi. walk everyday, plays with pet dog about an hour a day, short walks around school and the yard","Randy is really great and we love him! I do want to ask about when he plays with out pet dog, how much is too much? Normally they play and after about three minutes I pull Randy into a cradle just to take a breather and then they just go back at it when I release him. We do not think that the playing is mean. Our main concerns for this walk and talk are for him to stop ""counter surfing"".",0
Labrador Retriever,Yellow,M,Va,Yes,Science diet large breed puppy,"Walks,  plays in yard with family dog",Ryker is very obiedient for his age.  He adjusts and settles in nicely where ever he goes.    He is very good with the day care toddlers.,0
Labrador Retriever,Yellow,M,Va,Yes,Science diet large breed puppy,"Walks,  plays in yard with family dog",Ryker is very obiedient for his age.  He adjusts and settles in nicely where ever he goes.    He is very good with the day care toddlers.,0
Labrador Retriever,Black,F,NY,Yes,Iams Smart Puppy,"Working, Walks, Large play yard w/ ""sister"" Ginko.","Rally has a lot of trouble settling. We work on this at home and she does well, but outside the home - very difficult for her.Looking forward to lots of advice at her W&T!",0
Labrador Retriever,Yellow,M,MD,Yes,Iams Puppy,"walks, fetch in the yard",,0
Labrador Retriever,Yellow,F,OH,Yes,Hills Science Diet,"walking, and running in the yard",Rory is progressing nicely. We look forward to continuing to work with her.,0
Labrador Retriever,Yellow,F,OH,Yes,Hills Science Diet,"walking, and running in the yard",Rory is progressing nicely. We look forward to continuing to work with her.,0
Labrador Retriever,Black,M,VA,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks","When I got him he was a whirlwind, we've put a lot of emphasis on calming him down/settling as well as trying to get him to entertain himself and direct his chewing onto his toys -I'm proud to say that's going fantastically. He's just reached the point where he's calm and attentive in the house about 85% of the time, but he's still not at the point where he can settle well outside of the house (in class, at sedate locations, we've tried to keep the distractions minimal but it's still to much for him to really settle down. He's fine with most distractions if we're actively working with him (heel/sit/down/stand/stay/come/ect). Also, he's very attentive for a good period of time up to 45mins max, but after that he gets extremely frustrated and agitated, stops listening, starts biting and whining (this is really only an issue in class)Other than this, he's great.",0
Labrador Retriever,Black,M,VA,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks","When I got him he was a whirlwind, we've put a lot of emphasis on calming him down/settling as well as trying to get him to entertain himself and direct his chewing onto his toys -I'm proud to say that's going fantastically. He's just reached the point where he's calm and attentive in the house about 85% of the time, but he's still not at the point where he can settle well outside of the house (in class, at sedate locations, we've tried to keep the distractions minimal but it's still to much for him to really settle down. He's fine with most distractions if we're actively working with him (heel/sit/down/stand/stay/come/ect). Also, he's very attentive for a good period of time up to 45mins max, but after that he gets extremely frustrated and agitated, stops listening, starts biting and whining (this is really only an issue in class)Other than this, he's great.",0
Labrador Retriever,Black,F,MD,Yes,Iams,"Walks, runs with dogs or on long line",We will send her on her first overnight 11/22 for a week.,0
Labrador Retriever,Black,F,NY,Yes,Iams,"Playing in yard, walking","Quella has a lot of great qualities; she is really good at Heel and Close and Sit.  We are working on duration with food bowl.  Her Down is crazy and only lured.  She settles well--she is happy to down on her own, but when it is requested, she just won't do it.",0
Labrador Retriever,Yellow,F,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",Patience seems to have adjusted well to her new home.  She is more relaxed in the house than she was when she first arrived.  She appears to be settling into the routine of our household and is learning the rules well.,0
Labrador Retriever,Yellow,F,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",Patience seems to have adjusted well to her new home.  She is more relaxed in the house than she was when she first arrived.  She appears to be settling into the routine of our household and is learning the rules well.,0
Labrador Retriever,Yellow,F,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",Patience seems to have adjusted well to her new home.  She is more relaxed in the house than she was when she first arrived.  She appears to be settling into the routine of our household and is learning the rules well.,0
Labrador Retriever,Yellow,M,MD,Yes,science diet,"running in fenced in yard, walks, playing with cousin pups",,0
Labrador Retriever,Yellow,F,MD,Yes,Iams,"walks, runs in yard with other dog, swimming",Pam is a sweet girl and very easy to work with.  She hesitates going in and out of doors at times and does a lot of tongue flicking in new situations.  She improves daily and tries her best with whatever I ask of her.  I have never had a pup this laid back and what a delight.  Even her pace is beginning to pick up.  I love this dog and would like to have a clone of her from now on!,0
Labrador Retriever,Yellow,F,VA,Yes,Blue Buffalo puppy chow,"walking, playing with family dogs","sleeping was the main issue, and barking in her crate, at our house and on sits.Whenever she plays in our yard off leash, she consistently chews and eats ground material instead of wanting to play",0
Labrador Retriever,Yellow,M,MD,Yes,Science Diet Puppy Large breed,Walking and running/playing off leash in fenced yard.,Pugsley is a very intelligent dog. He often surprises me how quickly he learns a command and how quickly he will execute a command when he's motivated by a treat/is focused or on task. He's a constanty trying to get his way and on many occasions I'm exhausted and feel the constant struggle. It's been especially tough the past week with him waking up/taking out to potty almost every 2 hours during the night/ sleeping times.,0
Labrador Retriever,Black,M,VA,Yes,Science Diet puppy,"short walks, play with other pet; tug and fetch","Neil is doing well. His behaviors appear to be appropriate for his age. He is eager to please and has great name response. He is able to be redirected easily. At the Manassas Jubilee, he showed NO signs of distress or anxiety. He does sniff a lot and will pick up things in his mouth. 80% of the time, he responded to ""out"" quickly and had MANY opportunities to practice this. I was able to quickly gain his attention when distracted by other dogs with body blocking. By the end of the day (approximately 2 hours at the Jubilee), he would immediately look at me when he saw another dog. He is distracted by leaves but not as much as my previous pups.",0
Labrador Retriever,Black,M,VA,Yes,Science Diet puppy,"short walks, play with other pet; tug and fetch","Neil is doing well. His behaviors appear to be appropriate for his age. He is eager to please and has great name response. He is able to be redirected easily. At the Manassas Jubilee, he showed NO signs of distress or anxiety. He does sniff a lot and will pick up things in his mouth. 80% of the time, he responded to ""out"" quickly and had MANY opportunities to practice this. I was able to quickly gain his attention when distracted by other dogs with body blocking. By the end of the day (approximately 2 hours at the Jubilee), he would immediately look at me when he saw another dog. He is distracted by leaves but not as much as my previous pups.",0
Labrador Retriever,Yellow,F,CT,Yes,IAMs Smart Puppy,Runs around the house and yard (supervised),"She has been doing really well, Nomi learns quickly! The only trouble is biting/chewing and trying to jump on everything.",0
Labrador Retriever,Yellow,M,ct,Yes,hills,daily walk,I have only had Ned 3 weeks and we are still learning together.,0
Labrador Retriever,Yellow,M,ct,Yes,hills,daily walk,I have only had Ned 3 weeks and we are still learning together.,0
Labrador Retriever,Yellow,F,NY,Yes,IAMS Lamb & Rice,Walk,Energetic confident pup learning more every day.  Have not found anything that bothers her yet.,0
Labrador Retriever,Black,M,CT,Yes,Science Diet/Blue Buffalo,"walking, a few min of running when he initiates it, stair climbing","So gave him a 5 about furniture, just looked up to see him swipe a pillow off the couch. He didn't want to give it up. His outs have become a little resistant and I do not want to reward them because I do think it would be a game he would like. My concerns are the previous, leash pulling, eating acorns, eating anything as we try to take a walk anywhere (people litter soooo much). His greets look like this: He's overly jumpy excited, I get him to sit, I say ""go say hi"", he rushes at the person and seems to be getting out of the jumping but decides to pull their shoelaces within 2 secs, maybe even a tooth in the pants leg. I call him back and he does come and sit.",0
Labrador Retriever,Black,M,CT,Yes,IMAS,"running, active play throughout day",,0
Labrador Retriever,Black,M,CT,Yes,IMAS,"running, active play throughout day",,0
Labrador Retriever,Black,M,CT,Yes,Iams Puppy,Walking/ball chasing,,0
Labrador Retriever,Black,M,CT,Yes,Iams Puppy,Walking/ball chasing,,0
Labrador Retriever,Yellow,F,VA,Yes,iams,"walks, romps with other dogs","Oma is a , smart, confident ,eager to please young lady.  Her energy level is high, which can make mornings tough, but once she has had a walk or outside time she settles nicely in the house. She can get a little rough playing with other dogs, but settles quickly when separated or restrained.  She has started using her paws to demand attention, but I think this will extinguish as she gets older and she realizes it doesn't work. Overall we really like this pup!",0
Labrador Retriever,Yellow,F,VA,Yes,iams,"walks, romps with other dogs","Oma is a , smart, confident ,eager to please young lady.  Her energy level is high, which can make mornings tough, but once she has had a walk or outside time she settles nicely in the house. She can get a little rough playing with other dogs, but settles quickly when separated or restrained.  She has started using her paws to demand attention, but I think this will extinguish as she gets older and she realizes it doesn't work. Overall we really like this pup!",0
Labrador Retriever,Yellow,M,CT,Yes,Iams smart puppy,training,"Manny is a very smart puppy, with a lot of energy. I wish we could get him to stop biting.",0
Labrador Retriever,Black,F,NY,Yes,Iams Chicken and Rice,"Walking, playing","Maya is such a sweet girl!  She is very responsive and loves to work.  Her walking without pulling is amazing and while she is sometimes concerned by loud noises, she is able to reconnect immediately and continue working.  She has been such a joy to raise so far!",0
Labrador Retriever,Black,F,NY,Yes,Iams Chicken and Rice,"Walking, playing","Maya is such a sweet girl!  She is very responsive and loves to work.  Her walking without pulling is amazing and while she is sometimes concerned by loud noises, she is able to reconnect immediately and continue working.  She has been such a joy to raise so far!",0
Labrador Retriever,Black,F,NY,Yes,Iams Chicken and Rice,"Walking, playing","Maya is such a sweet girl!  She is very responsive and loves to work.  Her walking without pulling is amazing and while she is sometimes concerned by loud noises, she is able to reconnect immediately and continue working.  She has been such a joy to raise so far!",0
Labrador Retriever,Black,F,NY,Yes,Iams Chicken and Rice,"Walking, playing","Maya is such a sweet girl!  She is very responsive and loves to work.  Her walking without pulling is amazing and while she is sometimes concerned by loud noises, she is able to reconnect immediately and continue working.  She has been such a joy to raise so far!",0
Labrador Retriever,Black,F,VA,Yes,Hill's Large Breed Puppy,Walking,"Our current working areas are house manner and housebreaking.  She is improving steadily with housebreaking (a lot comes with age) and with me reading the signals correctly.  She goes through the night just fine but occasionally will urinate in the house.With house manners, she is into everything.  If it is on the floor or at eye level, she will put it in her mouth.  She is very limited in her access.  I would like some guidance in how to start to give her access but also have her succeed (our next steps).",0
Labrador Retriever,Black,F,NY,Yes,Iams,"walking, fetch, appropriate play",,0
Labrador Retriever,Black,F,NY,Yes,Iams,"walking, fetch, appropriate play",,0
Labrador Retriever,Black,F,NY,Yes,Canidea Lamb Grain Free,walks/play with other dogs,,0
Labrador Retriever,Black,F,NY,Yes,Canidea Lamb Grain Free,walks/play with other dogs,,0
Labrador Retriever,Yellow,M,VA,Yes,Iams,"walking, indoor romps, trail hikes","quick and eager learner.  likes to please, play, and get his treats.  at home exhibits (I think) exceptional skills.  other dogs can distract him in class.  calm in work setting and when not playing at home.  accepts handling very well.  Learning to ignore tree fruits and berries on ground when walking, otherwise paces very well next to handler and responds to leash feedback.",0
Labrador Retriever,Black,F,Va,Yes,Iams,Walk,,0
Labrador Retriever,Black,F,Va,Yes,Iams,Walk,,0
Labrador Retriever,Yellow,F,NY,,Hills Science Diet adult,"walks/runs on long line in open fields and woods, retrieving in yard, playing with problem solving toys","Kimberly is a sweet puppy who responds quickly to her name and has a lot of eye contact.  She especially enjoys being with people and it's rewarding to experience her developing self control as she matures.  She is very active and busy first thing in the morning and if exercised and asked to work, moderates throughout the day.",0
Labrador Retriever,Yellow,M,VA,Yes,Iams,"walks, run around backyard",,0
Labrador Retriever,Yellow,M,VA,Yes,Iams,"walks, run around backyard",,0
Labrador Retriever,Black,M,OH,Yes,Iams lamb and rice,"running, walking, playing with house dogs",,0
Labrador Retriever,Black,M,OH,Yes,Iams,"free play in fenced yard, fetch, tug with raiser and family dog",,0
Labrador Retriever,Black,M,OH,Yes,Iams lamb and rice,"running, walks, playing with family dog",Werner tends to go ahead of me when LLW,0
Labrador Retriever,Yellow,M,NY,Yes,Iams Smart Puppy,Walking and playing with dogs,,0
Labrador Retriever,Yellow,F,NY,Yes,Iams Puppy Chow,"Running/playing with other dogs, walking, playing with toys, going on outings","Jewel is a sweet and spirited girl. She is doing well in a house with a lot of dogs, as it is giving her an outlet for her extra energy. However, she calms down well once she is away from other dogs and is a smart girl. She is pretty bold and confident with the exception of stairs. She responds better to body language than verbal cues and definitely needs to continue to work on her listening skills. Overall she is a really fun girl to work with and I have high hopes for her future.",0
